Size (bp),A1: CFD1806872
1777.04,53.84
1787.66,54.13
1798.28,54.90
1808.89,55.97
1819.51,56.98
1830.13,57.97
1840.74,59.04
1851.36,59.81
1861.98,60.05
1872.60,60.20
1883.21,60.93
1893.83,62.48
1904.45,64.36
1915.06,65.82
1925.68,66.94
1936.30,68.57
1946.91,71.17
1957.53,74.27
1968.15,76.88
1978.77,78.36
1989.38,79.05
2000.00,79.75
2001.00,80.71
2019.50,83.16
2038.00,84.68
2056.50,86.61
2075.00,88.96
2093.50,91.26
2112.00,92.91
2130.50,93.70
2149.00,93.88
2167.50,93.82
2186.00,93.80
2204.50,94.08
2223.00,95.17
2241.50,97.28
2260.00,99.88
2278.50,102.09
2297.00,103.38
2315.50,103.70
2334.00,103.52
2352.50,103.65
2371.00,104.72
2389.50,106.79
2408.00,109.53
2426.50,112.52
2445.00,115.20
2463.50,116.99
2482.00,117.81
2500.50,118.28
2519.00,119.13
2537.50,120.20
2556.00,120.75
2574.50,120.95
2593.00,121.67
2611.50,122.98
2630.00,124.03
2648.50,124.16
2667.00,123.31
2685.50,122.18
2704.00,121.65
2722.50,121.70
2741.00,121.48
2759.50,120.58
2778.00,119.75
2796.50,119.90
2815.00,121.03
2833.50,122.87
2852.00,125.20
2870.50,127.30
2889.00,128.34
2907.50,128.53
2926.00,128.84
2944.50,129.61
2963.00,130.43
2981.50,131.08
3000.00,131.58
3001.00,131.51
3032.24,130.66
3063.48,129.95
3094.72,130.17
3125.96,130.90
3157.20,131.59
3188.44,132.54
3219.68,134.14
3250.92,136.33
3282.16,138.51
3313.40,139.70
3344.64,139.36
3375.87,137.84
3407.11,136.08
3438.35,135.34
3469.59,136.38
3500.83,138.73
3532.07,141.44
3563.31,143.94
3594.55,145.79
3625.79,146.72
3657.03,147.12
3688.27,147.53
3719.51,147.87
3750.75,147.45
3781.99,145.94
3813.23,143.98
3844.47,142.55
3875.71,142.02
3906.95,142.26
3938.19,143.04
3969.43,143.71
4000.67,143.25
4031.91,141.32
4063.15,138.95
4094.39,137.57
4125.62,137.87
4156.86,139.71
4188.10,142.46
4219.34,145.30
4250.58,147.21
4281.82,147.64
4313.06,146.99
4344.30,146.01
4375.54,145.05
4406.78,144.23
4438.02,144.83
4469.26,145.84
4500.50,146.82
4531.74,147.48
4562.98,147.89
4594.22,148.37
4625.46,149.09
4656.70,149.63
4687.94,149.07
4719.18,147.14
4750.42,144.68
4781.66,142.75
4812.90,141.74
4844.14,141.56
4875.37,142.02
4906.61,142.54
4937.85,142.31
4969.09,141.59
5000.33,141.77
5031.57,143.57
5062.81,146.23
